B1,1995,1
B1,1996,2
B1,1997,3
D1,1993,1
D1,1994,2
D1,1995,3
D1,1996,4
D1,1997,5
D1,1998,6
D2,1993,1
D2,1994,2
D2,1995,3
D2,1996,4
D2,1997,5
D2,1998,6
E0,1993,1
E0,1994,2
E0,1995,3
E0,1996,4
E0,1997,5
E0,1998,6
E1,1993,1
E1,1994,2
E1,1995,3
E1,1996,4
E1,1997,5
E1,1998,6
E2,1993,1
E2,1994,2
E2,1995,3
E2,1996,4
E2,1997,5
E2,1998,6
E3,1993,1
E3,1994,2
E3,1995,3
E3,1996,4
E3,1997,5
E3,1998,6
F1,1993,1
F1,1994,2
F1,1995,3
F1,1996,4
F1,1997,5
F1,1998,6
F2,1996,1
F2,1997,2
F2,1998,3
G1,1994,1
G1,1995,2
G1,1996,3
G1,1997,4
I1,1993,1
I1,1994,2
I1,1995,3
I1,1996,4
I1,1997,5
I2,1997,1
N1,1993,1
N1,1994,2
N1,1995,3
N1,1996,4
N1,1997,5
P1,1994,1
P1,1995,2
P1,1996,3
P1,1997,4
SC0,1994,1
SC0,1995,2
SC0,1996,3
SC0,1997,4
SC0,1998,5
SC1,1994,1
SC1,1995,2
SC1,1996,3
SC1,1997,4
SC1,1998,5
SC2,1997,1
SC2,1998,2
SC3,1997,1
SC3,1998,2
SP1,1993,1
SP1,1994,2
SP1,1995,3
SP1,1996,4
SP1,1997,5
SP2,1996,1
SP2,1997,2
T1,1994,1
T1,1995,2
T1,1996,3
T1,1997,4
T1,1998,5
